{name1}さんと{name2}さんが話していた。,{name1}씨와 {name2}씨가 말하고 있다.,{name1}和{name2}正在说话。
{name1}さんと{name2}さんは同じ{param}の従業員だ。一方が上司で、一方がその部下である。,{name1}씨와 {name2}씨는 같은 {param}의 종업원이다. 한쪽이 상사이고 한쪽이 그 부하이다.,{name1}和{name2}是同一个{param}的员工。一方是上司，另一方是下属。
{name1}さんと{name2}さんは同じ{param}に勤務している。一方が上司で、一方がその部下である。,{name1}씨와 {name2}씨는 같은 {param}에 근무하고 있다. 한쪽이 상사이고 한쪽이 그 부하이다.,{name1}和{name2}在同一个{param}工作。一方是上司，另一方是下属。
{name1}と{name2}は同じ{param}の従業員だ。一方が上司で、一方がその部下である。,{name1}과 {name2}는 같은 {param}의 종업원이다. 한쪽이 상사이고 한쪽이 그 부하이다.,{name1}和{name2}是同一个{param}的员工。一方是上司，另一方是下属。
{name1}と{name2}は同じ{param}の出身だ。,{name1}과 {name2}는 같은 {param} 출신이다.,{name1}和{name2}是同一个{param}出身的。
{name1}さんと{name2}さんは同じ{param}に勤務している。,{name1}씨와 {name2}씨는 같은 {param}에 근무하고 있다.,{name1}和{name2}在同一个{param}工作。
{name1}さんと{name2}さんは男女の{param}だ。,{name1}씨와 {name2}씨는 남녀의 {param}이다.,{name1}和{name2}是男女的{param}。
{name1}さんと{name2}さんは{param}に出席した。片方は男性で、片方は女性だ。,{name1}씨와 {name2}씨는 {param}에 참석했다. 한쪽은 남자고 한쪽은 여자다.,{name1}和{name2}参加了{param}。一方是男性，一方是女性。
{name1}と{name2}は幼馴染だ。片方が女子で、片方が男子である。,{name1}과 {name2}는 소꿉친구다. 한쪽이 여자고 한쪽이 남자다.,{name1}和{name2}是青梅竹马。一方是女生，一方是男生。
{name1}と{name2}は今度結婚する予定の男女のカップルだ。,{name1}과 {name2}는 이번에 결혼할 예정인 남녀 커플이다.,{name1}和{name2}是即将结婚的男女情侣。
{name1}と{name2}は同じ{param}の同僚だ。片方が女性で、片方が男性である。,{name1}과 {name2}는 같은 {param}의 동료이다. 한쪽이 여성이고 한쪽이 남성이다.,{name1}和{name2}是同一个{param}的同事。一方是女性，一方是男性。
{name1}さんと{name2}さんは友人だ。片方が男性で、片方が女性である。,{name1}씨와 {name2}씨는 친구다. 한쪽이 남성이고 한쪽이 여성이다.,{name1}和{name2}是朋友。一方是男性，一方是女性。
{name1}さんと{name2}さんは同じ{param}で働いている。片方が男性で、片方が女性である。,{name1}씨와 {name2}씨는 같은 {param}에서 일하고 있다. 한쪽이 남성이고 한쪽이 여성이다.,{name1}和{name2}在同一个{param}工作。一方是男性，一方是女性。
{name1}さんと{name2}さんは同じ{param}の同級生だ。一人が女性で、もう一人が男性である。,{name1}씨와 {name2}씨는 같은 {param}의 동창이다. 한 사람이 여성이고 다른 한 사람이 남성이다.,{name1}和{name2}是同一个{param}的同学。一人是女性，另一人是男性。
{name1}さんと{name2}さんは同じ{param}で働いている。,{name1}씨와 {name2}씨는 같은 {param}에서 일하고 있다.,{name1}和{name2}在同一个{param}工作。
{name1}さんと{name2}さんは{param}だ。片方は四十代で、片方は七十代だ。,{name1}씨와 {name2}씨는 {param}이다. 한쪽은 40대이고 한쪽은 70대다.,{name1}和{name2}是{param}。一方是四十多岁，一方是七十多岁。
{name1}と{name2}は同じ{param}で働いている。片方は二十代、片方は五十代である。,"{name1}과 {name2}는 같은 {param}에서 일하고 있다. 한쪽은 20대, 한쪽은 50대이다.",{name1}和{name2}在同一个{param}工作。一方是二十多岁，一方是五十多岁。
{name1}さんと{name2}さんは{param}だ。片方は二十代、片方は四十代である。,"{name1}씨와 {name2}씨는 {param}이다. 한쪽은 20대, 한쪽은 40대이다.",{name1}和{name2}是{param}。一方是二十多岁，一方是四十多岁。
{name1}さんと{name2}さんは{param}だ。片方が十代、片方は二十代である。,"{name1}씨와 {name2}씨는 {param}이다. 한쪽은 10대, 한쪽은 20대이다.",{name1}和{name2}是{param}。一方是十多岁，一方是二十多岁。
