{name1}씨와 {name2}씨가 말하고 있다.	{name1}和{name2}正在说话。
{name1}씨와 {name2}씨는 같은 {param}의 종업원이다. 한쪽이 상사이고 한쪽이 그 부하이다.	{name1}和{name2}是同一个{param}的员工。一方是上司，另一方是下属。
{name1}씨와 {name2}씨는 같은 {param}에 근무하고 있다. 한쪽이 상사이고 한쪽이 그 부하이다.	{name1}和{name2}在同一个{param}工作。一方是上司，另一方是下属。
{name1}과 {name2}는 같은 {param}의 종업원이다. 한쪽이 상사이고 한쪽이 그 부하이다.	{name1}和{name2}是同一个{param}的员工。一方是上司，另一方是下属。
{name1}과 {name2}는 같은 {param} 출신이다.	{name1}和{name2}是同一个{param}出身的。
{name1}씨와 {name2}씨는 같은 {param}에 근무하고 있다.	{name1}和{name2}在同一个{param}工作。
{name1}씨와 {name2}씨는 남녀의 {param}이다.	{name1}和{name2}是男女的{param}。
{name1}씨와 {name2}씨는 {param}에 참석했다. 한쪽은 남자고 한쪽은 여자다.	{name1}和{name2}参加了{param}。一方是男性，一方是女性。
{name1}과 {name2}는 소꿉친구다. 한쪽이 여자고 한쪽이 남자다.	{name1}和{name2}是青梅竹马。一方是女生，一方是男生。
{name1}과 {name2}는 이번에 결혼할 예정인 남녀 커플이다.	{name1}和{name2}是即将结婚的男女情侣。
{name1}과 {name2}는 같은 {param}의 동료이다. 한쪽이 여성이고 한쪽이 남성이다.	{name1}和{name2}是同一个{param}的同事。一方是女性，一方是男性。
{name1}씨와 {name2}씨는 친구다. 한쪽이 남성이고 한쪽이 여성이다.	{name1}和{name2}是朋友。一方是男性，一方是女性。
{name1}씨와 {name2}씨는 같은 {param}에서 일하고 있다. 한쪽이 남성이고 한쪽이 여성이다.	{name1}和{name2}在同一个{param}工作。一方是男性，一方是女性。
{name1}씨와 {name2}씨는 같은 {param}의 동창이다. 한 사람이 여성이고 다른 한 사람이 남성이다.	{name1}和{name2}是同一个{param}的同学。一人是女性，另一人是男性。
{name1}씨와 {name2}씨는 같은 {param}에서 일하고 있다.	{name1}和{name2}在同一个{param}工作。
{name1}씨와 {name2}씨는 {param}이다. 한쪽은 사십대이고 한쪽은 칠십대다.	{name1}和{name2}是{param}。一方是四十多岁，一方是七十多岁。
{name1}과 {name2}는 같은 {param}에서 일하고 있다. 한쪽은 20대, 한쪽은 50대이다.	{name1}和{name2}在同一个{param}工作。一方是二十多岁，一方是五十多岁。
{name1}씨와 {name2}씨는 {param}이다. 한쪽은 20대, 한쪽은 40대이다.	{name1}和{name2}是{param}。一方是二十多岁，一方是四十多岁。
{name1}씨와 {name2}씨는 {param}이다. 한쪽은 10대, 한쪽은 20대이다.	{name1}和{name2}是{param}。一方是十多岁，一方是二十多岁。
{name1}씨와 {name2}씨는 같은 {param}에서 일하고 있다. 한쪽은 20대, 한쪽은 60대이다.	{name1}和{name2}在同一个{param}工作。一方是二十多岁，一方是六十多岁。
{name1}씨와 {name2}씨는 같은 {param}에서 일하고 있다. 한쪽은 20대, 한쪽은 50대이다.	{name1}和{name2}在同一个{param}工作。一方是二十多岁，一方是五十多岁。
{name1}과 {name2}는 같은 {param}에서 일하고 있다. 한쪽은 30대, 한쪽은 50대이다.	{name1}和{name2}在同一个{param}工作。一方是三十多岁，一方是五十多岁。
{name1}과/와 {name2}은/는 {param} 면접을 진행했다.	{name1} 和 {name2} 进行 {param} 面试。
상급자는 어느 쪽인가?	谁是上级？
하급자는 어느 쪽인가?	谁是下级？
여성은 어느 쪽인가?	谁是女性？
남성은 어느 쪽인가?	谁是男性？
여자는 누구인가?	谁是女生？
남자는 누구인가?	谁是男生？
연장자는 누구인가?	谁年龄最大？
제일 어린 사람은 누구인가?	谁是最年轻的？
합격하는 사람은 누구인가?	谁能及格？
불합격하는 사람은 누구인가?	谁落榜？
직장	职场
회사	公司
알바처	打工地点
고향	家乡
고등학교	高中
근무처	工作地点
연인	恋人
커플	情侣
부부	夫妻
대학 졸업식	大学毕业典礼
성년식	成人式
중학교	初中
대학교	大学
친척	亲戚
이웃	邻居
지인	熟人
친구	朋友
형제	兄弟姐妹
입사	入职
공무원	公务员
로펌 입사	进入律师事务所工作
대기업 입사	进入大企业工作
{name1}씨는 팔에 문신이 있다.	{name1}先生手臂上有纹身。
{name1}씨는 남성이고, {name2}씨는 여성이다.	{name1}先生是男性，{name2}女士是女性。
{name2}씨는 정신장애가 있다.	{name2}女士有精神障碍。
{name2}씨는 신체장애가 있어 {name1}씨의 도움을 받고 있다.	{name2}女士有身体障碍，正在接受{name1}先生的帮助。
{name1}은 한국인이지만 {name2}은 외국인 노동자다.	{name1}是日本人，{name2}是外国劳工。
{name1}은 고졸이지만 {name2}은 명문대를 졸업했다.	{name1}是高中毕业，{name2}毕业于名门大学。
{name1}은/는 기초생활수급자이다.	{name1}正在领取生活保障。
{name1}씨는 한국어를 못한다.	{name1}不会说日语。
{name1}씨는 성소수자다.	{name1}是性少数群体。
{name2}씨가 게이라는 것을 동료들은 모두 알고 있다.	同事们都知道{name2}是同性恋。
발달장애가 있는 {name2}씨는 의사소통이 서툴다.	有发育障碍的{name2}不擅长沟通。
{name1}씨는 {name2}씨에게 폭력을 가했다.	{name1}被{name2}施暴了。
{name2}씨는 {name1}씨에게 데이트 폭력을 당했다.	{name2}遭受了{name1}的家庭暴力。
{name1}씨는 문과다.	{name1}是文科生。
{name1}씨는 이과이다.	{name1}是理科生。
{name1}이/가 좋아하는 색은 핑크색이다.	{name1}喜欢的颜色是粉色。
{name1}이/가 좋아하는 색은 파란색이다.	{name1}喜欢的颜色是蓝色。
{name1}은/는 가업을 잇고 있다.	{name1}继承了家里的产业。
{name1}은/는 엔지니어로 일하고 있다.	{name1}是工程师。
{name1}씨는 어린이집 선생님이다.	{name1}是保育员。
{name1}씨는 {name2}씨의 비서로 일하고 있다.	{name1}担任{name2}的秘书。
{name2}씨는 수학을 잘한다.	{name2}擅长数学。
{name2}씨는 수학을 잘 못한다.	{name2}不擅长数学。
{name1}씨는 컴퓨터를 다루는 것이 서툴다.	{name1}不擅长使用电脑。
{name1}씨는 요즘 건망증이 심하다.	{name1}最近健忘严重。
{name1}은/는 한 직장에 오래 있지 않고 자주 이직을 반복하고 있다.	{name1}工作不能长久，经常跳槽。
새로운 시스템을 도입하는 것에 대해 {name2}는 거부감이 있었다.	对于引进新系统，{name2}有抵触感。
{name2}씨는 미니스커트를 입고 있었다.	{name2}穿着迷你裙。
{name1}씨는 언제나 업무를 실패한다.	{name1}工作总是失败连连。
{name1}씨는 IT와 컴퓨터를 잘 안다.	{name1}对IT和电脑很了解。
{name2}씨는 한번 결정하면 좀처럼 의견을 굽히지 않는다.	{name2}一旦决定了意见，很难改变。
{name1}씨는 새로운 업무에 대해 이해가 빠르다.	{name1}对新业务的理解很快。
{name1}씨는 요즘 일에 대한 의욕이 별로 없다.	{name1}最近对工作缺乏热情。
{name1}씨는 {name2}씨를 부를때 "야"라고 부른다.	{name1}先生称呼{name2}先生时称为" "。
{name1}씨는 조카에게 "이모"라고 불린다.	{name1}先生被侄子称为" "。
{name1}씨는 조카에게 "삼촌"라고 불린다.	{name1}先生被侄子称为" "。
{name1}과/와 면접자는 같은 대학 출신이다.	{name1}和面试者来自同一所大学。
{name1}은/는 {name2}보다 더 좋은 대학 출신이다.	{name1}是比{name2}更好的大学出身。
{name1}은/는 고위 관료의 친척이다.	{name1}是高级官员的亲戚。
{name1}씨는 {name2}씨에게 "점심 드셨나요?"라고 물었다.	{name1}问{name2}“午饭吃了吗？”
{name1}씨는 {name2}씨에게 "지금부터 가겠습니다"라고 말했다.	{name1}对{name2}说“我现在过去。”
{name1}씨가 말씀하신 것을 {name2}씨는 듣지 못했다.	{name2}先生错过了听{name1}先生所说的话。
{name1}씨는 {name2}씨로부터 "{name1}군"이라고 불리고 있다.	{name1}先生被{name2}先生称呼为“{name1}君”。
{name1}은 {name2}에게 "로비에서 기다리고 있겠습니다"라고 연락했다.	{name1}联系{name2}说“在大厅等候”。
{name1}이 회의실에 모습을 보이자 {name2}은 인사를 드렸다.	{name1}一出现在会议室，{name2}就深深地鞠了一躬。
회식에서 {name1}의 잔에 {name2}은/는 적극적으로 술을 따랐다.	在工作聚会上，{name2}积极地为{name1}的酒杯倒酒。
{name1}씨는 {name2}씨에게 명절 선물을 줬다.	{name1}先生送了中元礼物给{name2}先生。
회의실에서 {name1}씨는 상석으로, {name2}씨는 말석으로 배정받았다.	在会议室里，{name1}先生被安排在上座，{name2}先生被安排在下座。
{name1}씨의 의뢰에 대해 {name2}씨는 "잘 알겠습니다"라고 대답했다.	对于{name1}先生的请求，{name2}先生回答说“明白了”。
{name2}씨와의 회의가 있었기 때문에, {name1}씨는 15분 전에 회의실에 가서 준비했다.	因为有与{name2}先生的会议，{name1}先生提前15分钟去了房间做准备。
{name1}씨는 여중, 여고를 졸업했다.	{name1}毕业于女子初中和女子高中。
{name1}씨는 남중, 남고를 졸업했다.	{name1}毕业于南中、南高中。
{name2}씨는 노리개를 빌려서 착용했다.	{name2}先生借用饰品佩戴。
