--- CONTEXT ---	日本語訳 (Japanese Translation)
{name1}和{name2}在同一个{param}巡检。	{name1}と{name2}は同じ{param}で巡回点検を行っている。
{name1}和{name2}一起在{param}接热线。	{name1}と{name2}は一緒に{param}でホットラインを受けている。
{name1}和{name2}在{param}演示自助扫码机。	{name1}と{name2}は{param}でセルフサービスのスキャン機をデモンストレーションしている。
{name1}和{name2}负责{param}的线上报销指导。	{name1}と{name2}は{param}のオンライン経費精算指導を担当している。
{name1}和{name2}在{param}安装智能摄像头。	{name1}と{name2}は{param}でスマート監視カメラを設置している。
{name1}和{name2}在{param}推广网上办证。	{name1}と{name2}は{param}でオンラインでの証明書発行手続きを普及させている。
{name1}和{name2}在{param}调试无人配送车。	{name1}と{name2}は{param}で無人配送車を調整している。
{name1}和{name2}在{param}为村民培训手机银行。	{name1}と{name2}は{param}で村人たちのためにモバイルバンキングの研修を行っている。
{name1}和{name2}在{param}讲解AR安全头盔。	{name1}と{name2}は{param}でAR安全ヘルメットについて解説している。
{name1}和{name2}在{param}测试语音助手。	{name1}と{name2}は{param}で音声アシスタントをテストしている。
{name1}和{name2}在{param}检查无人机。	{name1}と{name2}は{param}でドローンを点検している。
{name1}和{name2}在{param}写风险模型。	{name1}と{name2}は{param}でリスクモデルを記述している。
{name1}和{name2}在{param}值守调度台。	{name1}と{name2}は{param}で配車指令台の当直をしている。
{name1}和{name2}在{param}主持工程安全会。	{name1}と{name2}は{param}で工事安全会議を主宰している。
{name1}和{name2}在{param}准备驾驶考试。	{name1}と{name2}は{param}で運転免許試験の準備をしている。
{name1}和{name2}在{param}负责理财直播。	{name1}と{name2}は{param}で資産運用のライブ配信を担当している。
{name1}和{name2}在{param}试驾重型卡车。	{name1}と{name2}は{param}で大型トラックの試運転をしている。
{name1}和{name2}在{param}做设备巡检。	{name1}と{name2}は{param}で設備の巡回点検を行っている。
{name1}和{name2}在{param}进行商务谈判。	{name1}と{name2}は{param}でビジネス交渉を行っている。
{name1}和{name2}在{param}拍摄宣传片。	{name1}と{name2}は{param}でプロモーションビデオを撮影している。
{name1}和{name2}一起参加总部{param}汇报。	{name1}と{name2}は一緒に本部での{param}報告会に参加した。
{name1}和{name2}陪客户参加{param}。	{name1}と{name2}は顧客に同行して{param}に参加した。
{name1}和{name2}在{param}做现场检查。	{name1}と{name2}は{param}で現場検査を行っている。
{name1}和{name2}在{param}陪同市领导调研。	{name1}と{name2}は{param}で市幹部の調査研究に同行した。
{name1}和{name2}去{param}参加行业闭门会。	{name1}と{name2}は{param}へ行って業界の非公開会議に参加した。
{name1}和{name2}参加{param}述职。	{name1}と{name2}は{param}の職務報告会に参加した。
{name1}和{name2}陪董事长外访{param}。	{name1}と{name2}は会長に同行して{param}を外部訪問した。
{name1}和{name2}到{param}参加季度述职。	{name1}と{name2}は{param}へ行き四半期職務報告会に参加した。
{name1}和{name2}陪董秘召开媒体{param}。	{name1}と{name2}は秘書役に同行してメディア向けの{param}を開催した。
{name1}和{name2}出席行业协会{param}讨论新规。	{name1}と{name2}は業界団体の{param}に出席し新規定を議論した。
{name1}和{name2}负责{param}合作洽谈。	{name1}と{name2}は{param}での提携交渉を担当している。
{name1}和{name2}推进{param}融资。	{name1}と{name2}は{param}の資金調達を推進している。
